"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","metadata_Individuos","metadata_Especies","n_images","HierarchicalSubject"
"45","CAM_3","Dicotyles crassus",2019-10-10 14:44:51,2019-10-10,"14:44:51",74,1.2,0,0,"UMA_OCOTONES_CHIS/CAM_3/Dicotyles_crassus","I_00022a.JPG","1 ind","Dicotyles crassus",1,"Especies|Dicotyles crassus, Individuos|1 ind"
"46","CAM_3","Eira barbara",2019-09-13 11:38:04,2019-09-13,"11:38:04",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_3/Eira_barbara","I_00003a.JPG","1 ind","Eira barbara",1,"Individuos|1 ind, Especies|Eira barbara"
"47","CAM_3","Leopardus wiedii",2019-10-12 20:39:08,2019-10-12,"20:39:08",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_3/Leopardus_wiedii","I_00023a.JPG","1 ind","Leopardus wiedii",1,"Individuos|1 ind, Especies|Leopardus wiedii"
"48","CAM_3","Nasua narica",2019-10-09 07:08:57,2019-10-09,"07:08:57",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_3/Nasua_narica","I_00020a.JPG","1 ind","Nasua narica",1,"Especies|Nasua narica, Individuos|1 ind"
"49","CAM_3","Penelope purpurascens",2019-10-18 12:09:02,2019-10-18,"12:09:02",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_3/Penelope_purpurascens","I_00025a.JPG","1 ind","Penelope purpurascens",1,"Individuos|1 ind, Especies|Penelope purpurascens"
"50","CAM_3","Penelope purpurascens",2019-10-18 16:22:38,2019-10-18,"16:22:38",15216,253.6,4.2,0.2,"UMA_OCOTONES_CHIS/CAM_3/Penelope_purpurascens","I_00026a.JPG","1 ind","Penelope purpurascens",1,"Individuos|1 ind, Especies|Penelope purpurascens"
"51","CAM_3","Penelopina nigra",2019-09-19 13:15:10,2019-09-19,"13:15:10",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_3/Penelopina_nigra","I_00006a.JPG","1 ind","Penelopina nigra",1,"Especies|Penelopina nigra, Individuos|1 ind"
"52","CAM_4","Dicotyles crassus",2019-10-17 09:29:28,2019-10-17,"09:29:28",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_4/Dicotyles_crassus","I_00006a.JPG","1 ind","Dicotyles crassus",1,"Especies|Dicotyles crassus, Individuos|1 ind"
"53","CAM_4","Dicotyles crassus",2019-10-17 09:30:31,2019-10-17,"09:30:31",63,1.1,0,0,"UMA_OCOTONES_CHIS/CAM_4/Dicotyles_crassus","I_00007a.JPG","1 ind","Dicotyles crassus",1,"Especies|Dicotyles crassus, Individuos|1 ind"
"54","CAM_4","Tapirus bairdii",2019-09-14 21:14:54,2019-09-14,"21:14:54",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_4/Tapirus_bairdii","I_00002a.JPG","1 ind","Tapirus bairdii",1,"Especies|Tapirus bairdii, Individuos|1 ind"
"55","CAM_4","Tapirus bairdii",2019-09-20 22:13:29,2019-09-20,"22:13:29",521915,8698.6,145,6,"UMA_OCOTONES_CHIS/CAM_4/Tapirus_bairdii","I_00004a.JPG","1 ind","Tapirus bairdii",1,"Especies|Tapirus bairdii, Individuos|1 ind"
"56","CAM_5","Tapirus bairdii",2019-09-25 02:53:08,2019-09-25,"02:53:08",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_5/Tapirus_bairdii","I_00016a.JPG","1 ind","Tapirus bairdii",0,"Especies|Tapirus bairdii, Individuos|1 ind"
"57","CAM_6","Canis lupus familiaris",2019-09-27 12:04:44,2019-09-27,"12:04:44",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_6/Canis_lupus_familiaris","I_00005a.JPG","2 ind","Canis lupus familiaris",1,"Individuos|2 ind, Especies|Canis lupus familiaris"
"58","CAM_6","Canis lupus familiaris",2019-10-15 12:10:21,2019-10-15,"12:10:21",1555537,25925.6,432.1,18,"UMA_OCOTONES_CHIS/CAM_6/Canis_lupus_familiaris","I_00009a.JPG","1 ind","Canis lupus familiaris",1,"Individuos|1 ind, Especies|Canis lupus familiaris"
"59","CAM_6","Canis lupus familiaris",2019-10-15 17:22:55,2019-10-15,"17:22:55",18754,312.6,5.2,0.2,"UMA_OCOTONES_CHIS/CAM_6/Canis_lupus_familiaris","I_00010a.JPG","1 ind","Canis lupus familiaris",1,"Individuos|1 ind, Especies|Canis lupus familiaris"
"60","CAM_6","Cuniculus paca",2019-09-26 00:41:45,2019-09-26,"00:41:45",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_6/Cuniculus_paca","I_00004a.JPG","1 ind","Cuniculus paca",1,"Individuos|1 ind, Especies|Cuniculus paca"
"61","CAM_6","Cuniculus paca",2019-09-29 23:35:53,2019-09-29,"23:35:53",341648,5694.1,94.9,4,"UMA_OCOTONES_CHIS/CAM_6/Cuniculus_paca","I_00006a.JPG","1 ind","Cuniculus paca",1,"Individuos|1 ind, Especies|Cuniculus paca"
"62","CAM_6","Dasypus novemcinctus",2019-09-24 23:28:39,2019-09-24,"23:28:39",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_6/Dasypus_novemcinctus","I_00003a.JPG","1 ind","Dasypus novemcinctus",1,"Especies|Dasypus novemcinctus, Individuos|1 ind"
